# p2_filt_x, p2_filt_y, p2_smoothed_x, p2_smoothed_y
2.579210553824385244e+01, 2.673756454593587151e+01, 9.031698222823052902e+00, 8.674443419409845646e+00
2.567541846912349612e+01, 2.662962646574989733e+01, 9.031447210017665483e+00, 8.664946997265364104e+00
2.557281778451542920e+01, 2.652329939746365284e+01, 9.012409462229786783e+00, 8.675782577809950880e+00
2.546376874277672897e+01, 2.641919170459559396e+01, 9.011192722984068482e+00, 8.670880031766721174e+00
2.536744085477166166e+01, 2.630210515905994839e+01, 9.004552560451509535e+00, 8.676891379740487409e+00
2.523065208093789735e+01, 2.618458353871944766e+01, 9.001978867443682475e+00, 8.611574345053492507e+00
2.509539989679897332e+01, 2.607262851901629830e+01, 8.941488533459370558e+00, 8.604585600065963291e+00
2.496286435581609098e+01, 2.596508155020009312e+01, 8.885904335381040298e+00, 8.607227704842021154e+00
2.487262068468558951e+01, 2.585547738658557293e+01, 8.834301622164110412e+00, 8.615430391196891691e+00
2.477339605093919417e+01, 2.575907001454578094e+01, 8.836283329773577222e+00, 8.560767083097523766e+00
2.468524316650378125e+01, 2.565463490021414472e+01, 8.827628301155630908e+00, 8.571344975882784212e+00
2.458000036546305012e+01, 2.555806971650095605e+01, 8.826558330797361407e+00, 8.533824448568017473e+00
2.449095877071796323e+01, 2.546487267125378651e+01, 8.808446344926686322e+00, 8.544630544007587147e+00
2.440198213134728888e+01, 2.537159674640439988e+01, 8.809606700741506202e+00, 8.547315292069757930e+00
2.423766218717512899e+01, 2.524489740218037426e+01, 8.812890333435181134e+00, 8.543356615379343211e+00
2.414013803089967070e+01, 2.515530510177503132e+01, 8.693102563766629487e+00, 8.507028438174948803e+00
2.405848469799127543e+01, 2.505364816797632344e+01, 8.681390619460682245e+00, 8.519706887868473189e+00
2.397313650556889542e+01, 2.494231255231567346e+01, 8.678559571896530045e+00, 8.474589169176928394e+00
2.389252488898230453e+01, 2.483618938749277305e+01, 8.658307134497251312e+00, 8.397946320222947847e+00
2.380486697902301430e+01, 2.475167624063112370e+01, 8.648091214717274156e+00, 8.322680860094095578e+00
2.372137718805423034e+01, 2.466794470777495363e+01, 8.647070028674486153e+00, 8.331249455285213656e+00
2.364441005998178369e+01, 2.457742962955788002e+01, 8.649404132599093131e+00, 8.336524117874668960e+00
2.353779520132725978e+01, 2.449080993191046574e+01, 8.648237683661482933e+00, 8.310478844480941873e+00
2.345692570038604430e+01, 2.440905076227596737e+01, 8.627149794136954597e+00, 8.324470652368802348e+00
2.335080587356108950e+01, 2.432457300801038613e+01, 8.633309754516510282e+00, 8.324558100947671235e+00
2.327567726534180892e+01, 2.424431564781772863e+01, 8.614356357031416778e+00, 8.340956151280648712e+00
2.311940724395010704e+01, 2.412485945564337086e+01, 8.619736689463810109e+00, 8.343178517313075915e+00
2.302429021517070495e+01, 2.404044012616720849e+01, 8.505183762689766169e+00, 8.302367777098300650e+00
2.288268951576160148e+01, 2.393314040317599378e+01, 8.480153563530505423e+00, 8.307627433265755812e+00
2.281300646703492419e+01, 2.385846895108660703e+01, 8.380970974043815858e+00, 8.279429611063118699e+00
2.272089056738172985e+01, 2.378061316004367498e+01, 8.388967405878069883e+00, 8.284907716638935327e+00
